YEAR,Car_Age,MILEAGE,CAR_PRICE
2020,3,28689,36000
2016,7,43428,21955
2022,1,14256,39500
2019,4,30747,32955
2021,2,14627,53500
2020,3,21328,34999
2022,1,10940,35891
2016,7,88333,19562
2022,1,2619,36919
2007,16,135807,8932
2015,8,114513,14800
2014,9,97600,18591
