Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-02-16,274.359985,277.359985,274.230011,275.089996,251.363632,4740000,1
2018-02-20,274.040009,275.690002,272.519989,273.410004,249.828537,5578500,2
2018-02-21,273.899994,276.730011,271.980011,272,248.540115,8167000,3
2018-02-22,273.130005,275.070007,271.630005,272.369995,248.878265,5544500,4
2018-02-23,273.850006,276.73999,273.290009,276.720001,252.853073,6619800,5
2018-02-26,277.959991,280.059998,277.329987,279.959991,255.813599,3803500,6
2018-02-27,280.200012,281.029999,276.410004,276.480011,252.633743,6107300,7
2018-02-28,277.73999,278.230011,273.329987,273.339996,249.764526,4951800,8
2018-03-01,273.459991,275.170013,267.950012,269.700012,246.438538,7706000,9
2018-03-02,267.690002,271.709991,266.769989,271.200012,247.809143,5459300,10
2018-03-05,269.709991,274.910004,269.589996,274.200012,250.550369,4124400,11
2018-03-06,275.290009,275.420013,273.190002,274.950012,251.235703,4385200,12
2018-03-07,272.429993,275.190002,272.230011,274.850006,251.144394,4153800,13
2018-03-08,275.570007,276.26001,274.450012,276.130005,252.313919,3448800,14
2018-03-09,277.769989,280.920013,277.390015,280.820007,256.599426,5534500,15
2018-03-12,281.320007,282,280.160004,280.589996,256.389252,3277300,16
2018-03-13,281.929993,282.5,278.109985,278.769989,254.726227,5284300,17
2018-03-14,279.899994,280.100006,276.73999,277.339996,253.419525,4153300,18
2018-03-15,277.959991,278.660004,276.470001,277.049988,253.154572,3443500,19
2018-03-16,277.660004,278.529999,277.299988,277.299988,253.383011,9106600,20
2018-03-19,276.48999,276.5,271.720001,273.579987,249.983826,4573300,21
2018-03-20,274.01001,274.76001,273.299988,274.059998,250.422455,5915200,22
2018-03-21,273.980011,276.399994,273.299988,273.559998,249.965607,4234400,23
2018-03-22,269.670013,270.730011,265.209991,265.470001,243.66803,4727500,24
2018-03-23,266,266.350006,259.609985,259.829987,238.491196,5833600,25
2018-03-26,264.070007,267.23999,261.190002,267,245.072403,6544700,26
2018-03-27,267.980011,268.589996,260.609985,262.320007,240.776794,5711000,27
2018-03-28,262.519989,264.440002,260.359985,261.619995,240.134201,5095300,28
2018-03-29,262.859985,267.049988,262.070007,265.369995,243.576233,5552000,29
2018-04-02,264.369995,264.929993,256.429993,259.209991,237.922165,6102600,30
2018-04-03,260.630005,263.040009,258.600006,262.579987,241.01532,6600400,31
2018-04-04,258.519989,266.170013,258.350006,265.630005,243.814926,3770100,32
2018-04-05,267.350006,268.420013,266.140015,267.480011,245.512985,3066000,33
2018-04-06,265.200012,266.940002,259.76001,261.570007,240.088348,5700200,34
2018-04-09,263.230011,266.640015,262.309998,262.700012,241.125565,3360400,35
2018-04-10,266.109985,267.859985,264.790009,266.970001,245.044846,4183900,36
2018-04-11,265.269989,267.429993,265.179993,265.519989,243.713974,2997600,37
2018-04-12,267.089996,268.820007,266.869995,267.790009,245.797516,2994000,38
2018-04-13,269.299988,269.359985,265.799988,266.970001,245.044846,4026400,39
2018-04-16,268.799988,270.029999,267.899994,269.190002,247.082535,3311600,40
2018-04-17,271.179993,272.730011,270.579987,272.070007,249.726013,2794900,41
2018-04-18,272.540009,273.140015,271.76001,272.190002,249.836182,2766900,42
2018-04-19,271.480011,271.709991,269.549988,270.720001,248.486938,2675400,43
2018-04-20,270.649994,270.890015,267.450012,268.440002,246.39415,2883800,44
2018-04-23,269.160004,269.720001,267.190002,268.440002,246.39415,2999700,45
2018-04-24,269.549988,269.799988,263.049988,264.890015,243.135727,4818200,46
2018-04-25,264.700012,265.920013,262.670013,265.420013,243.622177,3592500,47
2018-04-26,266.600006,269.059998,266.100006,268.149994,246.12796,2564300,48
2018-04-27,268.790009,269.179993,267.299988,268.390015,246.348297,3579900,49
2018-04-30,269.070007,269.700012,266.200012,266.309998,244.439056,3839400,50
2018-05-01,265.779999,266.920013,263.899994,266.829987,244.916382,2973500,51
2018-05-02,266.579987,267.480011,264.529999,264.970001,243.209137,3090300,52
2018-05-03,264,265.149994,260.809998,264.399994,242.685944,3409200,53
2018-05-04,263.309998,268.600006,262.940002,267.820007,245.825073,2378500,54
2018-05-07,268.75,269.839996,267.950012,268.790009,246.715439,2185200,55
2018-05-08,268.329987,269.130005,266.970001,268.679993,246.614441,3261000,56
2018-05-09,269.51001,271.720001,268.950012,271.440002,249.147766,3335400,57
2018-05-10,272.23999,274.269989,272.070007,273.899994,251.405731,3494500,58
2018-05-11,274.040009,275.040009,273.480011,274.470001,251.92894,2639000,59
2018-05-14,275.220001,275.940002,274.279999,274.820007,252.250214,1876000,60
2018-05-15,273.450012,273.5,271.910004,272.809998,250.405273,3820400,61
2018-05-16,272.980011,274.619995,272.980011,274.100006,251.58931,2068500,62
2018-05-17,273.820007,275.119995,272.980011,273.880005,251.387405,2289900,63
2018-05-18,273.48999,273.920013,272.809998,273.209991,250.772385,2262600,64
2018-05-21,274.859985,275.869995,274.459991,275.209991,252.608109,1796300,65
2018-05-22,275.859985,276.170013,274.130005,274.470001,251.92894,1919200,66
2018-05-23,273.049988,275.299988,272.920013,275.25,252.644928,2278200,67
2018-05-24,274.829987,275.119995,272.670013,274.75,252.185944,3192400,68
