Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-02-12,242.5,245.320007,240.660004,243.740005,223.16806,4236200,0
2018-02-13,242.630005,245,241.970001,244.559998,223.918854,3077700,1
2018-02-14,243,248.119995,242.839996,247.759995,226.848785,3650800,2
2018-02-15,249.600006,250.970001,246.979996,250.970001,229.787842,2923800,3
2018-02-16,250.270004,253,250.169998,250.940002,229.760361,3007500,4
2018-02-20,250,251.509995,248.600006,249.419998,228.368637,3454400,5
2018-02-21,249.860001,252.440002,248.110001,248.110001,227.16922,2798000,6
2018-02-22,249.169998,250.899994,247.809998,248.410004,227.443924,3177700,7
2018-02-23,249.820007,252.490005,249.300003,252.490005,231.179596,2923100,8
2018-02-26,253.559998,255.5,252.990005,255.399994,233.843903,1892000,9
2018-02-27,255.630005,256.339996,252.139999,252.139999,230.859085,2947100,10
2018-02-28,253.369995,253.820007,249.339996,249.339996,228.295395,2716600,11
2018-03-01,249.529999,251.029999,244.449997,246.050003,225.283081,5182300,12
2018-03-02,244.240005,247.860001,243.330002,247.360001,226.482513,3276500,13
2018-03-05,246.020004,250.789993,245.949997,250.199997,229.08284,3024600,14
2018-03-06,251.220001,251.25,249.229996,250.830002,229.659653,1932000,15
2018-03-07,248.539993,251.070007,248.360001,250.720001,229.558975,2730200,16
2018-03-08,251.399994,252.020004,250.360001,251.889999,230.630188,3021600,17
2018-03-09,253.399994,256.26001,253.050003,256.25,234.622192,2450800,18
2018-03-12,256.640015,257.25,255.580002,256,234.393265,2029200,19
2018-03-13,257.200012,257.709991,253.710007,254.309998,232.845917,3080600,20
2018-03-14,255.330002,255.509995,252.460007,252.970001,231.619049,2352700,21
2018-03-15,253.550003,254.210007,252.220001,252.729996,231.399231,2161500,22
2018-03-16,253.229996,254.080002,252.970001,252.990005,231.637329,1554600,23
2018-03-19,252.25,252.259995,247.869995,249.610001,228.542603,2715800,24
2018-03-20,249.990005,250.660004,249.330002,250.050003,228.94548,1991400,25
2018-03-21,249.940002,252.119995,249.309998,249.470001,228.414398,2777300,26
2018-03-22,247.110001,248.080002,243.029999,243.270004,222.737701,3589400,27
2018-03-23,243.740005,244.089996,237.919998,238.089996,217.994888,3815500,28
2018-03-26,240.820007,243.809998,238.320007,243.529999,223.995605,5529000,29
2018-03-27,244.470001,245.039993,237.770004,239.309998,220.114105,3363600,30
2018-03-28,239.460007,241.220001,237.529999,238.639999,219.497849,4384100,31
2018-03-29,239.850006,243.610001,239.080002,242.080002,222.661942,2910800,32
2018-04-02,241.190002,241.699997,233.919998,236.479996,217.511108,4696400,33
2018-04-03,237.809998,240,235.929993,239.479996,220.270493,3287900,34
2018-04-04,235.869995,242.809998,235.699997,242.240005,222.809097,4598000,35
2018-04-05,243.899994,244.889999,242.800003,243.990005,224.418686,3436600,36
2018-04-06,241.940002,243.509995,236.979996,238.619995,219.479446,4931600,37
2018-04-09,240.149994,243.25,239.320007,239.589996,220.371613,2956000,38
2018-04-10,242.75,244.380005,241.570007,243.539993,224.004807,2903800,39
2018-04-11,242,243.990005,241.949997,242.25,222.818298,2068300,40
2018-04-12,243.710007,245.25,243.470001,244.279999,224.68541,1723600,41
2018-04-13,245.839996,245.839996,242.5,243.600006,224.059998,2887700,42
2018-04-16,245.270004,246.350006,244.410004,245.580002,225.881149,2149200,43
2018-04-17,247.419998,248.809998,246.880005,248.220001,228.309418,2301800,44
2018-04-18,248.660004,249.220001,247.940002,248.360001,228.438171,1365100,45
2018-04-19,247.619995,247.889999,245.960007,247,227.187256,1997100,46
2018-04-20,246.949997,247.130005,243.970001,245,225.347702,2103900,47
2018-04-23,245.550003,246.080002,243.75,244.889999,225.24649,1472600,48
2018-04-24,245.970001,246.119995,240.009995,241.550003,222.174423,3653500,49
